split,repeat,fold,method,macro_f1,balanced_accuracy,train_seconds,predict_seconds,test_rows,params
0,0,0,centroid,0.3989846798670328,0.43333333333333335,0.00647910000407137,0.0016067000105977058,85,{}
0,0,0,knn,0.705327945001858,0.7060064935064935,0.004585400020005181,0.011298400000669062,85,{}
0,0,0,svm,0.8597943722943724,0.8597943722943724,3.305639099999098,0.0029322000045794994,85,"{""model__C"": 100, ""model__gamma"": 0.01}"
0,0,0,mlp,0.7092834960070986,0.718560606060606,4.532470800011652,0.0011605999898165464,85,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [16], ""model__learning_rate_init"": 0.01}"
0,0,0,rbf,0.7475694444444444,0.7662337662337663,8.865001099999063,0.0029814000008627772,85,"{""model__alpha"": 0.001, ""model__n_centers"": 32, ""model__width"": 1}"
0,0,0,svm_linear,0.8021978021978022,0.8002164502164502,2.0145991999888793,0.002940499980468303,85,"{""model__C"": 100}"
0,0,0,svm_unscaled,0.7119380140241025,0.7299242424242425,5.078291799989529,0.005165899987332523,85,"{""model__C"": 100, ""model__gamma"": ""scale""}"
1,0,1,centroid,0.39894592340947854,0.44572510822510825,0.013503599999239668,0.006089100003009662,85,{}
1,0,1,knn,0.5624214429361488,0.5731601731601732,0.01526650000596419,0.014879900001687929,85,{}
1,0,1,svm,0.7856029856928317,0.7900432900432901,5.968376500008162,0.006819200003519654,85,"{""model__C"": 100, ""model__gamma"": 0.01}"
1,0,1,mlp,0.7989479512735327,0.801948051948052,8.231111100001726,0.0051506999880075455,85,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.01}"
1,0,1,rbf,0.7411887909865665,0.7542748917748918,11.253122399997665,0.003464300010818988,85,"{""model__alpha"": 0.001, ""model__n_centers"": 32, ""model__width"": 1}"
1,0,1,svm_linear,0.7308635131805864,0.7309523809523809,2.3357697000028566,0.004849699995247647,85,"{""model__C"": 10}"
1,0,1,svm_unscaled,0.7639817290552585,0.7775974025974026,5.5393503999803215,0.005815500015160069,85,"{""model__C"": 100, ""model__gamma"": ""scale""}"
2,0,2,centroid,0.5027894491129785,0.5116341991341992,0.01224850001744926,0.0032032000017352402,85,{}
2,0,2,knn,0.7827831890331891,0.7877705627705628,0.020913899992592633,0.031978099985281006,85,{}
2,0,2,svm,0.8939024390243903,0.895021645021645,6.729018699988956,0.01777469998341985,85,"{""model__C"": 100, ""model__gamma"": 0.01}"
2,0,2,mlp,0.8478896103896103,0.8489718614718615,6.707499399984954,0.002026100002694875,85,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32], ""model__learning_rate_init"": 0.01}"
2,0,2,rbf,0.7443344878772884,0.7548160173160172,10.785114600002998,0.0026342000055592507,85,"{""model__alpha"": 0.001, ""model__n_centers"": 32, ""model__width"": 1}"
2,0,2,svm_linear,0.812421679197995,0.8138528138528138,2.1005710000172257,0.0120261000120081,85,"{""model__C"": 10}"
2,0,2,svm_unscaled,0.8199565135186235,0.8257575757575757,5.985852400015574,0.0050561000243760645,85,"{""model__C"": 100, ""model__gamma"": ""scale""}"
3,0,3,centroid,0.46532413350449287,0.47591991341991347,0.007427000004099682,0.005620100011583418,85,{}
3,0,3,knn,0.7050264829587378,0.7191017316017316,0.00998020000406541,0.009048600011738017,85,{}
3,0,3,svm,0.8211760461760462,0.8252164502164503,4.662739199993666,0.006169700005557388,85,"{""model__C"": 100, ""model__gamma"": 0.01}"
3,0,3,mlp,0.7957042408261921,0.800865800865801,6.609098200016888,0.0017155999958049506,85,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.01}"
3,0,3,rbf,0.6757852077001013,0.6975108225108225,12.740949300001375,0.0027256000030320138,85,"{""model__alpha"": 0.001, ""model__n_centers"": 32, ""model__width"": 1}"
3,0,3,svm_linear,0.773223839741197,0.7786796536796536,1.7327266999927815,0.0015232000150717795,85,"{""model__C"": 10}"
3,0,3,svm_unscaled,0.7161330187619368,0.7316017316017316,7.408666800009087,0.014669900003354996,85,"{""model__C"": 100, ""model__gamma"": ""scale""}"
4,0,4,centroid,0.4348484848484849,0.4537878787878788,0.008527099998900667,0.0027768999862018973,85,{}
4,0,4,knn,0.698806452625302,0.700595238095238,0.01335069999913685,0.01843869997537695,85,{}
4,0,4,svm,0.8286848810104623,0.8284090909090909,3.536272600002121,0.005731999990530312,85,"{""model__C"": 100, ""model__gamma"": 0.01}"
4,0,4,mlp,0.7306784402867634,0.738095238095238,5.804229800007306,0.0014743999927304685,85,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32], ""model__learning_rate_init"": 0.01}"
4,0,4,rbf,0.7316805534890641,0.7386363636363636,9.590754100005142,0.004593199992086738,85,"{""model__alpha"": 0.001, ""model__n_centers"": 32, ""model__width"": 1}"
4,0,4,svm_linear,0.8045035068290882,0.8068181818181818,1.5177520000142977,0.0015949999797157943,85,"{""model__C"": 1}"
4,0,4,svm_unscaled,0.699047619047619,0.7159090909090909,5.5860642999759875,0.0052890999941155314,85,"{""model__C"": 100, ""model__gamma"": ""scale""}"
5,0,5,centroid,0.3824920718816068,0.39188311688311683,0.006771399988792837,0.002483899996150285,85,{}
5,0,5,knn,0.7203765227021042,0.725,0.009272099996451288,0.011347899999236688,85,{}
5,0,5,svm,0.826887649195641,0.8284090909090909,3.879675300006056,0.004757199989398941,85,"{""model__C"": 100, ""model__gamma"": 0.01}"
5,0,5,mlp,0.7448202959830866,0.7471861471861472,5.377648900001077,0.0014809999847784638,85,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.01}"
5,0,5,rbf,0.6910615979764916,0.7159090909090909,11.252868500014301,0.003200499981176108,85,"{""model__alpha"": 0.001, ""model__n_centers"": 32, ""model__width"": 1}"
5,0,5,svm_linear,0.7738266814486328,0.7840909090909091,1.36887839998235,0.0016260000120382756,85,"{""model__C"": 10}"
5,0,5,svm_unscaled,0.7587121212121213,0.7721861471861472,4.349192499998026,0.005579899996519089,85,"{""model__C"": 100, ""model__gamma"": ""scale""}"
6,0,6,centroid,0.36645210543233686,0.42299783549783554,0.005023799982154742,0.0018381999980192631,84,{}
6,0,6,knn,0.8212106352838618,0.8202380952380952,0.005382100003771484,0.014628199976868927,84,{}
6,0,6,svm,0.8799279294800012,0.8803571428571428,3.1112800000119023,0.0030584999767597765,84,"{""model__C"": 100, ""model__gamma"": 0.01}"
6,0,6,mlp,0.7688346883468834,0.7732142857142856,5.741060200001812,0.0014430999872274697,84,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32], ""model__learning_rate_init"": 0.01}"
